article_idx,pmid,title,bertopic_topic,display_label
11713,32014252,Evolution for improved secretion and fitness may be the selective pressures leading to the emergence of two NDM alleles.,7,7_title_abstract_cell_cells
11714,32142632,TMEM173 Drives Lethal Coagulation in Sepsis.,3,3_abstract_title_cells_cell
11715,32280896,Electrocoalescence of Water-in-Oil Droplets with a Continuous Aqueous Phase: Implementation of Controlled Content Release.,8,8_abstract_title_biology_molecular
11716,32209667,Mixed lineage kinase 3 inhibition induces T cell activation and cytotoxicity.,5,5_abstract_title_cells_cancer
11717,32200619,Impact of Antigen Density on Recognition by Monoclonal Antibodies.,5,5_abstract_title_cells_cancer
11718,32036646,Biotransformation Changes Bioaccumulation and Toxicity of Diclofenac in Aquatic Organisms.,8,8_abstract_title_biology_molecular
11719,32251448,3D mesh processing using GAMer 2 to enable reaction-diffusion simulations in realistic cellular geometries.,1,1_abstract_title_cells_cell
11720,32193362,Endoplasmic reticulum-associated degradation regulates mitochondrial dynamics in brown adipocytes.,7,7_title_abstract_cell_cells
11721,31962122,Autophagy as a Cellular Stress Response Mechanism in the Nervous System.,7,7_title_abstract_cell_cells
11722,31882544,The structural features that distinguish PD-L2 from PD-L1 emerged in placental mammals.,2,2_cells_cancer_cell_expression
11723,32300343,Tim-4 in Health and Disease: Friend or Foe?,4,4_abstract_title_cells_cell
11724,32240278,Chemical intervention of influenza virus mRNA nuclear export.,3,3_abstract_title_cells_cell
11725,34109316,An in vivo genome-wide CRISPR screen identifies the RNA-binding protein Staufen2 as a key regulator of myeloid leukemia.,0,0_cells_cell_abstract_title
11726,32883935,Genomic evolution of severe acute respiratory syndrome Coronavirus 2 in India and vaccine impact.,9,9_sarscov2_virus_viral_covid19
11727,32430099,Nuclear localization and actions of the insulin-like growth factor 1 (IGF-1) system components: Transcriptional regulation and DNA damage response.,6,6_proteins_cell_protein_abstract
11728,32427033,Analytical techniques for multiplex analysis of protein biomarkers.,0,0_cells_cell_abstract_title
11729,32411776,Prognostic value of the albumin-bilirubin grade in patients with hepatocellular carcinoma and other liver diseases.,11,11_patients_study_95_risk
11730,32339554,"Emerging roles for human glycolipid transfer protein superfamily members in the regulation of autophagy, inflammation, and cell death.",6,6_proteins_cell_protein_abstract
11731,32301585,Overview of multiplex immunohistochemistry/immunofluorescence techniques in the era of cancer immunotherapy.,2,2_cells_cancer_cell_expression
11732,32298747,Odyssey of trefoil factors in cancer: Diagnostic and therapeutic implications.,0,0_cells_cell_abstract_title
11733,32282863,Molecular immune pathogenesis and diagnosis of COVID-19.,9,9_sarscov2_virus_viral_covid19
11734,32256173,Purification and kinetic behavior of glucose isomerase from Streptomyces lividans RSU26.,5,5_abstract_title_cells_cancer
11735,32250173,Regulating polymyxin resistance in Gram-negative bacteria: roles of two-component systems PhoPQ and PmrAB.,0,0_cells_cell_abstract_title
11736,32238941,Recapitulating the human segmentation clock with pluripotent stem cells.,7,7_title_abstract_cell_cells
11737,32238850,Rice phenolamindes reduce the survival of female adults of the white-backed planthopper Sogatella furcifera.,4,4_abstract_title_cells_cell
11738,32238228,Metagenomic sequencing of clinical samples reveals a single widespread clone of Lawsonia intracellularis responsible for porcine proliferative enteropathy.,10,10_resistance_isolates_strains_study
11739,32236824,Single-cell RNA sequencing identifies senescent cerebromicrovascular endothelial cells in the aged mouse brain.,1,1_abstract_title_cells_cell
11740,32234211,Deep evolutionary analysis reveals the design principles of fold A glycosyltransferases.,6,6_proteins_cell_protein_abstract
11741,32234188,"Reproductive health research in Australia and New Zealand: highlights from the Annual Meeting of the Society for Reproductive Biology, 2019.",1,1_abstract_title_cells_cell
11742,32231309,KDM4A regulates the maternal-to-zygotic transition by protecting broad H3K4me3 domains from H3K9me3 invasion in oocytes.,1,1_abstract_title_cells_cell
11743,32218858,Serum melatonin is inversely associated with matrix metalloproteinase-9 in oral squamous cell carcinoma.,5,5_abstract_title_cells_cancer
11744,32203420,Systems analysis of RhoGEF and RhoGAP regulatory proteins reveals spatially organized RAC1 signalling from integrin adhesions.,7,7_title_abstract_cell_cells
11745,32203415,Copper is an essential regulator of the autophagic kinases ULK1/2 to drive lung adenocarcinoma.,0,0_cells_cell_abstract_title
11746,32202178,Management of early-stage gastro-esophageal cancers: expert perspectives from the Australasian Gastrointestinal Trials Group (AGITG) with invited international faculty.,1,1_abstract_title_cells_cell
11747,32198906,Conscripted curriculum: The experiences of minority genetic counseling students.,11,11_patients_study_95_risk
11748,32185903,Cellular microbiology: Bacterial toxin interference drives understanding of eukaryotic cell function.,4,4_abstract_title_cells_cell
11749,32185902,Mammalian membrane trafficking as seen through the lens of bacterial toxins.,1,1_abstract_title_cells_cell
11750,32185900,"Listeria monocytogenes, a model in infection biology.",10,10_resistance_isolates_strains_study
11751,32179338,Expression and production of the SERPING1-encoded endogenous complement regulator C1-inhibitor in multiple cohorts of tuberculosis patients.,4,4_abstract_title_cells_cell
11752,32171687,Oncogene-induced senescence: From biology to therapy.,3,3_abstract_title_cells_cell
11753,32164040,Identification of lncRNA-associated differential subnetworks in oesophageal squamous cell carcinoma by differential co-expression analysis.,1,1_abstract_title_cells_cell
11754,32139316,Deubiquitinases: Pro-oncogenic Activity and Therapeutic Targeting in Blood Malignancies.,6,6_proteins_cell_protein_abstract
11755,32128709,Stem cell therapy: old challenges and new solutions.,3,3_abstract_title_cells_cell
11756,32128708,The journey of Zika to the developing brain.,1,1_abstract_title_cells_cell
11757,32116020,"Perturbed mitochondrial dynamics, an emerging aspect of epithelial-microbe interactions.",7,7_title_abstract_cell_cells
11758,32113130,The unconventional role of HLA-E: The road less traveled.,4,4_abstract_title_cells_cell
11759,32112053,Tumour metabolism and its unique properties in prostate adenocarcinoma.,3,3_abstract_title_cells_cell
11760,32111271,New Approaches to Pain Management.,2,2_cells_cancer_cell_expression
11761,32109778,Activity-based protein profiling: Recent advances in medicinal chemistry.,3,3_abstract_title_cells_cell
11762,32105827,Nanostructured recombinant protein particles raise specific antibodies against the nodavirus NNV coat protein in sole.,1,1_abstract_title_cells_cell
11763,32105359,Constraints Shape Cell Function and Morphology by Canalizing the Developmental Path along the Waddington's Landscape.,0,0_cells_cell_abstract_title
11764,32103170,MUC1 oncoprotein mitigates ER stress via CDA-mediated reprogramming of pyrimidine metabolism.,4,4_abstract_title_cells_cell
11765,32102837,LncRNA AK036396 Inhibits Maturation and Accelerates Immunosuppression of Polymorphonuclear Myeloid-Derived Suppressor Cells by Enhancing the Stability of Ficolin B.,0,0_cells_cell_abstract_title
11766,32096344,Local delivery of dinutuximab from lyophilized silk fibroin foams for treatment of an orthotopic neuroblastoma model.,2,2_cells_cancer_cell_expression
11767,32085976,Non-coding RNAs in CD8 T cell biology.,3,3_abstract_title_cells_cell
11768,32083784,Dendronized-Polymer Disturbing Cells' Stress Protection by Targeting Metabolism Leads to Tumor Vulnerability.,3,3_abstract_title_cells_cell
11769,32060574,Emerging Frontiers in the Study of Molecular Evolution.,8,8_abstract_title_biology_molecular
11770,32056845,"Zika virus-spread, epidemiology, genome, transmission cycle, clinical manifestation, associated challenges, vaccine and antiviral drug development.",4,4_abstract_title_cells_cell
11771,32043460,"Absence of Evidence of Zika Virus Infection in Cord Blood and Urine from Newborns with Congenital Abnormalities, Indonesia.",3,3_abstract_title_cells_cell
11772,32043454,Case Report: Multidrug-Resistant Mycobacterium leprae in a Case of Smear-Negative Relapse.,0,0_cells_cell_abstract_title
11773,32037468,Microbial enzymes for deprivation of amino acid metabolism in malignant cells: biological strategy for cancer treatment.,0,0_cells_cell_abstract_title
11774,32035656,What Is a Transcriptional Burst?,1,1_abstract_title_cells_cell
11775,32006524,Role of placental fibrinogen-like protein 1 in gestational diabetes.,1,1_abstract_title_cells_cell
11776,32002785,"Neurovascular unit dysregulation, white matter disease, and executive dysfunction: the shared triad of vascular cognitive impairment and Alzheimer disease.",5,5_abstract_title_cells_cancer
11777,32001144,Management of Patients with Advanced Prostate Cancer: Report of the Advanced Prostate Cancer Consensus Conference 2019.,11,11_patients_study_95_risk
11778,31981945,Post-treatment with oxcarbazepine confers potent neuroprotection against transient global cerebral ischemic injury by activating Nrf2 defense pathway.,4,4_abstract_title_cells_cell
11779,31978408,Cell free DNA as a diagnostic and prognostic marker for cardiovascular diseases.,2,2_cells_cancer_cell_expression
11780,31977044,Effect of colistin-based antibiotic combinations on the eradication of persister cells in Pseudomonas aeruginosa.,7,7_title_abstract_cell_cells
11781,31953255,Ppp1r1b-lncRNA inhibits PRC2 at myogenic regulatory genes to promote cardiac and skeletal muscle development in mouse and human.,4,4_abstract_title_cells_cell
11782,31943290,Post-translational modifications of protein in response to ionizing radiation.,3,3_abstract_title_cells_cell
11783,31910162,HIV persists throughout deep tissues with repopulation from multiple anatomical sources.,9,9_sarscov2_virus_viral_covid19
11784,31909846,Structure of the BRK domain of the SWI/SNF chromatin remodeling complex subunit BRG1 reveals a potential role in protein-protein interactions.,6,6_proteins_cell_protein_abstract
11785,31904399,The emerging role of paraptosis in tumor cell biology: Perspectives for cancer prevention and therapy with natural compounds.,4,4_abstract_title_cells_cell
11786,31877327,"Physiology and immunity of the invasive giant African snail, Achatina (Lissachatina) fulica, intermediate host of Angiostrongylus cantonensis.",0,0_cells_cell_abstract_title
11787,31869699,Contactless electroporation induced by high intensity pulsed electromagnetic fields via distributed nanoelectrodes.,1,1_abstract_title_cells_cell
11788,31841658,Human proliferative sparganosis update.,10,10_resistance_isolates_strains_study
11789,31840621,Besnoitia besnoiti bradyzoite stages induce suicidal- and rapid vital-NETosis.,10,10_resistance_isolates_strains_study
11790,31836877,Towards personalized treatment for early stage HER2-positive breast cancer.,1,1_abstract_title_cells_cell
11791,31808939,Paralogization and New Protein Architectures in Planctomycetes Bacteria with Complex Cell Structures.,5,5_abstract_title_cells_cancer
11792,31806517,"Colorectal cancer peritoneal metastases: Biology, treatment and next steps.",3,3_abstract_title_cells_cell
11793,31793101,Exploring the proteome associated with the mRNA encoding the D1 reaction center protein of Photosystem II in plant chloroplasts.,8,8_abstract_title_biology_molecular
11794,31786539,The mTOR pathway in reproduction: from gonadal function to developmental coordination.,1,1_abstract_title_cells_cell
11795,31769328,Versatility in multiple mini-interview implementation: Rater background does not significantly influence assessment scoring.,11,11_patients_study_95_risk
11796,31749249,The ox atrioventricular conduction axis compared to human in relation to the original investigation of sunao tawara.,8,8_abstract_title_biology_molecular
11797,31729564,The gut microbiome in tuberculosis susceptibility and treatment response: guilty or not guilty?,5,5_abstract_title_cells_cancer
11798,31623016,"Location, location! cellular relocalization primes specialized metabolic diversification.",0,0_cells_cell_abstract_title
11799,31610084,Genetic and functional diversity of the multiple lungfish myoglobins.,8,8_abstract_title_biology_molecular
11800,31606972,Comparison of The Expression of miR-326 between Interferon beta Responders and Non-Responders in Relapsing-Remitting Multiple Sclerosis.,2,2_cells_cancer_cell_expression
11801,31606277,Upstream regulation of the Hippo-Yap pathway in cardiomyocyte regeneration.,6,6_proteins_cell_protein_abstract
11802,31591470,The necroptosis machinery mediates axonal degeneration in a model of Parkinson disease.,1,1_abstract_title_cells_cell
11803,31586240,Time after time: circadian clock regulation of intestinal stem cells.,6,6_proteins_cell_protein_abstract
11804,31570333,Functional Consequences of Calcium-Dependent Synapse-to-Nucleus Communication: Focus on Transcription-Dependent Metabolic Plasticity.,0,0_cells_cell_abstract_title
11805,31539305,Stem Cells and the Differentiation Hierarchy in Mammary Gland Development.,7,7_title_abstract_cell_cells
11806,31525517,The recent emergence of a highly related virulent Clostridium difficile clade with unique characteristics.,4,4_abstract_title_cells_cell
11807,31501195,Bcl-2-Protein Family as Modulators of IP3 Receptors and Other Organellar Ca2+ Channels.,0,0_cells_cell_abstract_title
11808,31411772,Molecular networking as a dereplication strategy for monitoring metabolites of natural product treated cancer cells.,3,3_abstract_title_cells_cell
11809,31026504,"Pharmacology of nerve growth factor and discovery of tanezumab, an anti-nerve growth factor antibody and pain therapeutic.",2,2_cells_cancer_cell_expression
11810,32328176,DNT Cell-based Immunotherapy: Progress and Applications.,2,2_cells_cancer_cell_expression
11811,32296715,Single Cell Analysis in Vascular Biology.,6,6_proteins_cell_protein_abstract
11812,32244531,"Characterization of Port Bolivar Virus, a Novel Entomobirnavirus (Birnaviridae) Isolated from Mosquitoes Collected in East Texas, USA.",4,4_abstract_title_cells_cell
11813,32244372,Plastics in Cyanobacterial Blooms-Genotoxic Effects of Binary Mixtures of Cylindrospermopsin and Bisphenols in HepG2 Cells.,5,5_abstract_title_cells_cancer
11814,31996434,Structure and Characterization of Crimean-Congo Hemorrhagic Fever Virus GP38.,9,9_sarscov2_virus_viral_covid19
11815,32257390,Proteomic and functional analyses in disease models reveal CLN5 protein involvement in mitochondrial dysfunction.,7,7_title_abstract_cell_cells
11816,32235615,Mitophagy in the Pathogenesis of Liver Diseases.,3,3_abstract_title_cells_cell
11817,32235458,Infectious Esophagitis in Romanian Children: From Etiology and Risk Factors to Clinical Characteristics and Endoscopic Features.,11,11_patients_study_95_risk
11818,32231242,Transcriptome Profile of Nicotinic Receptor-Linked Sensitization of Beta Amyloid Neurotoxicity.,2,2_cells_cancer_cell_expression
11819,32228440,LncRNA MALAT1 exhibits positive effects on nucleus pulposus cell biology in vivo and in vitro by sponging miR-503.,4,4_abstract_title_cells_cell
11820,32226041,Acute experimental infection of bats and ferrets with Hendra virus: Insights into the early host response of the reservoir host and susceptible model species.,9,9_sarscov2_virus_viral_covid19
11821,32044396,"The Fusarium mycotoxin, 2-Amino-14,16-dimethyloctadecan-3-ol (AOD) induces vacuolization in HepG2 cells.",3,3_abstract_title_cells_cell
11822,32235322,Synchronous Cervical Adenocarcinoma and Ovarian Serous Adenocarcinoma-A Case Report and Literature Review.,11,11_patients_study_95_risk
11823,31836310,The evolution of two-dimensional gel electrophoresis - from proteomics to emerging alternative applications.,1,1_abstract_title_cells_cell
11824,32511336,Site-specific analysis of the SARS-CoV-2 glycan shield.,9,9_sarscov2_virus_viral_covid19
11825,31074790,A Nanoparticle-Based Hepatitis C Virus Vaccine With Enhanced Potency.,4,4_abstract_title_cells_cell
11826,32511318,Topoisomerase III-ß is required for efficient replication of positive-sense RNA viruses.,9,9_sarscov2_virus_viral_covid19
11827,32292348,Aldehyde Dehydrogenase 2 Protects Against Post-Cardiac Arrest Myocardial Dysfunction Through a Novel Mechanism of Suppressing Mitochondrial Reactive Oxygen Species Production.,1,1_abstract_title_cells_cell
11828,32258386,miR-489-3p/SIX1 Axis Regulates Melanoma Proliferation and Glycolytic Potential.,1,1_abstract_title_cells_cell
11829,32230836,Non-Human Primate Models of Dengue Virus Infection: A Comparison of Viremia Levels and Antibody Responses during Primary and Secondary Infection among Old World and New World Monkeys.,4,4_abstract_title_cells_cell
11830,32221383,Robustness in spatially driven bistability in signaling systems.,1,1_abstract_title_cells_cell
11831,32221355,N-Phenethyl Substitution in 14-Methoxy-N-methylmorphinan-6-ones Turns Selective µ Opioid Receptor Ligands into Dual µ/δ Opioid Receptor Agonists.,3,3_abstract_title_cells_cell
11832,32112804,Sequence-Based Prediction of Fuzzy Protein Interactions.,1,1_abstract_title_cells_cell
11833,32079489,N-Cadherin Overexpression Mobilizes the Protective Effects of Mesenchymal Stromal Cells Against Ischemic Heart Injury Through a β-Catenin-Dependent Manner.,2,2_cells_cancer_cell_expression
11834,31577436,Anibamine and Its Analogues: Potent Antiplasmodial Agents from Aniba citrifolia.,10,10_resistance_isolates_strains_study
11835,32274386,Mitophagy: An Emerging Role in Aging and Age-Associated Diseases.,4,4_abstract_title_cells_cell
11836,32974585,"Identification of viral etiology of acute respiratory tract infections in children and adults in Tabanan, Bali, Indonesia.",5,5_abstract_title_cells_cancer
11837,32269568,Myeloid-Derived Suppressor Cells as Target of Phosphodiesterase-5 Inhibitors in Host-Directed Therapeutics for Tuberculosis.,5,5_abstract_title_cells_cancer
11838,32218186,Research Progress on Plant Long Non-Coding RNA.,6,6_proteins_cell_protein_abstract
11839,32218162,HSP70/IL-2 Treated NK Cells Effectively Cross the Blood Brain Barrier and Target Tumor Cells in a Rat Model of Induced Glioblastoma Multiforme (GBM).,4,4_abstract_title_cells_cell
11840,32214222,Proteomic mapping of Drosophila transgenic elav.L-GAL4/+ brain as a tool to illuminate neuropathology mechanisms.,4,4_abstract_title_cells_cell
11841,32098761,Genetically Engineering the Nervous System with CRISPR-Cas.,7,7_title_abstract_cell_cells
11842,31996443,Reduced In Vitro Susceptibility of Streptococcus pyogenes to β-Lactam Antibiotics Associated with Mutations in the pbp2x Gene Is Geographically Widespread.,10,10_resistance_isolates_strains_study
11843,31941694,Single-Locus-Sequence-Based Typing of the mgpB Gene Reveals Transmission Dynamics in Mycoplasma genitalium.,10,10_resistance_isolates_strains_study
11844,31852764,Laboratory Analysis of an Outbreak of Candida auris in New York from 2016 to 2018: Impact and Lessons Learned.,10,10_resistance_isolates_strains_study
11845,31751650,The ethnopharmacological literature: An analysis of the scientific landscape.,11,11_patients_study_95_risk
11846,32203536,NS4/5 mutations enhance flavivirus Bamaga virus infectivity and pathogenicity in vitro and in vivo.,9,9_sarscov2_virus_viral_covid19
11847,32235809,Iron and Advanced Glycation End Products: Emerging Role of Iron in Androgen Deficiency in Obesity.,4,4_abstract_title_cells_cell
11848,32245253,Response of Human Neutrophil Granulocytes to the Hyphae of the Emerging Fungal Pathogen Curvularia lunata.,7,7_title_abstract_cell_cells
11849,32265665,Editorial: Emerging Cellular Stress Sensors in Neurological Disorders: Closing in on the Nucleolus and the Primary Cilium.,4,4_abstract_title_cells_cell
11850,32245081,Nematode-Trapping Fungi Produce Diverse Metabolites during Predator-Prey Interaction.,10,10_resistance_isolates_strains_study
11851,32198375,Degree and site of chromosomal instability define its oncogenic potential.,3,3_abstract_title_cells_cell
11852,32198371,The ribosome-associated complex RAC serves in a relay that directs nascent chains to Ssb.,1,1_abstract_title_cells_cell
11853,32196487,Vaccination with single plasmid DNA encoding IL-12 and antigens of severe fever with thrombocytopenia syndrome virus elicits complete protection in IFNAR knockout mice.,9,9_sarscov2_virus_viral_covid19
11854,32265978,The Molecular Chaperone CCT/TRiC: An Essential Component of Proteostasis and a Potential Modulator of Protein Aggregation.,7,7_title_abstract_cell_cells
11855,32204446,A Signaling Crosstalk between BMP9 and HGF/c-Met Regulates Mouse Adult Liver Progenitor Cell Survival.,1,1_abstract_title_cells_cell
11856,32192153,Soluble Epoxide Hydrolase 2 Expression Is Elevated in Obese Humans and Decreased by Physical Activity.,1,1_abstract_title_cells_cell
11857,32178593,Emerging WuHan (COVID-19) coronavirus: glycan shield and structure prediction of spike glycoprotein and its interaction with human CD26.,9,9_sarscov2_virus_viral_covid19
11858,32164890,Stem Cell-Derived Cardiomyocytes and Beta-Adrenergic Receptor Blockade in Duchenne Muscular Dystrophy Cardiomyopathy.,2,2_cells_cancer_cell_expression
11859,32132200,Loss-of-function BK channel mutation causes impaired mitochondria and progressive cerebellar ataxia.,2,2_cells_cancer_cell_expression
11860,31941782,Sensitivity of Alphaviruses to G3BP Deletion Correlates with Efficiency of Replicase Polyprotein Processing.,9,9_sarscov2_virus_viral_covid19
11861,31915285,"Human Epitopes Identified from Herpes Simplex Virus Tegument Protein VP11/12 (UL46) Recall Multifunctional Effector Memory CD4+ TEM Cells in Asymptomatic Individuals and Protect from Ocular Herpes Infection and Disease in ""Humanized"" HLA-DR Transgenic Mice.",9,9_sarscov2_virus_viral_covid19
11862,31915280,A Genome-Wide CRISPR-Cas9 Screen Identifies the Dolichol-Phosphate Mannose Synthase Complex as a Host Dependency Factor for Dengue Virus Infection.,9,9_sarscov2_virus_viral_covid19
11863,32188057,SIRT1 Alleviates LPS-Induced IL-1β Production by Suppressing NLRP3 Inflammasome Activation and ROS Production in Trophoblasts.,1,1_abstract_title_cells_cell
11864,32190011,High-Resolution Confocal Fluorescence Imaging of Serine Hydrolase Activity in Cryosections - Application to Glioma Brain Unveils Activity Hotspots Originating from Tumor-Associated Neutrophils.,8,8_abstract_title_biology_molecular
11865,32060138,GCNT1-Mediated O-Glycosylation of the Sialomucin CD43 Is a Sensitive Indicator of Notch Signaling in Activated T Cells.,2,2_cells_cancer_cell_expression
11866,32284740,MiR-186 bidirectionally regulates cisplatin sensitivity of ovarian cancer cells via suppressing targets PIK3R3 and PTEN and upregulating APAF1 expression.,3,3_abstract_title_cells_cell
11867,32231998,Transcriptomic and Functional Screens Reveal MicroRNAs That Modulate Prostate Cancer Metastasis.,3,3_abstract_title_cells_cell
11868,32231573,Hazards of Using Masking Protocols When Performing Ligand Binding Assays: Lessons From the Sigma-1 and Sigma-2 Receptors.,2,2_cells_cancer_cell_expression
11869,32214830,"Emergence of Terbinafine Resistant Trichophyton mentagrophytes in Iran, Harboring Mutations in the Squalene Epoxidase (SQLE) Gene.",5,5_abstract_title_cells_cancer
11870,32183020,The Roles of Cyclin-Dependent Kinases in Cell-Cycle Progression and Therapeutic Strategies in Human Breast Cancer.,0,0_cells_cell_abstract_title
11871,32075877,Cryo-EM structure of the 2019-nCoV spike in the prefusion conformation.,3,3_abstract_title_cells_cell
11872,31866296,Identifying Readers for (hydroxy)methylated DNA Using Quantitative Interaction Proteomics: Advances and Challenges Ahead.,4,4_abstract_title_cells_cell
11873,32178254,ER Stress Responses: An Emerging Modulator for Innate Immunity.,1,1_abstract_title_cells_cell
11874,32164768,Regenerative potential of allogeneic adipose tissue-derived mesenchymal cells in canine cutaneous wounds.,5,5_abstract_title_cells_cancer
11875,32163465,Both clinical and environmental Caulobacter species are virulent in the Galleria mellonella infection model.,10,10_resistance_isolates_strains_study
11876,32168759,Mechanistic and Functional Shades of Mucins and Associated Glycans in Colon Cancer.,2,2_cells_cancer_cell_expression
11877,32161294,Comprehensive transcriptome profiling of Taiwanese colorectal cancer implicates an ethnic basis for pathogenesis.,4,4_abstract_title_cells_cell
11878,32161263,Mitochondrial peptide BRAWNIN is essential for vertebrate respiratory complex III assembly.,6,6_proteins_cell_protein_abstract
11879,32164285,"Malignancy Grade-Dependent Mapping of Metabolic Landscapes in Human Urothelial Bladder Cancer: Identification of Novel, Diagnostic, and Druggable Biomarkers.",1,1_abstract_title_cells_cell
11880,32157153,Effects of enrofloxacin treatment on the bacterial microbiota of milk from goats with persistent mastitis.,10,10_resistance_isolates_strains_study
11881,32023434,Nanosecond-Timescale Dynamics and Conformational Heterogeneity in Human GCK Regulation and Disease.,6,6_proteins_cell_protein_abstract
11882,31899268,Current challenges and emerging opportunities of CAR-T cell therapies.,5,5_abstract_title_cells_cancer
11883,31892284,Autophagy in Female Fertility: A Role in Oxidative Stress and Aging.,0,0_cells_cell_abstract_title
11884,32214795,In silico Design and Synthesis of Tetrahydropyrimidinones and Tetrahydropyrimidinethiones as Potential Thymidylate Kinase Inhibitors Exerting Anti-TB Activity Against Mycobacterium tuberculosis.,10,10_resistance_isolates_strains_study
11885,32155439,Hedgehog-Activated Fat4 and PCP Pathways Mediate Mesenchymal Cell Clustering and Villus Formation in Gut Development.,0,0_cells_cell_abstract_title
11886,32152311,Live cell imaging of single RNA molecules with fluorogenic Mango II arrays.,4,4_abstract_title_cells_cell
11887,32149610,The single-cell eQTLGen consortium.,3,3_abstract_title_cells_cell
11888,32511316,Isolation and characterization of SARS-CoV-2 from the first US COVID-19 patient.,9,9_sarscov2_virus_viral_covid19
11889,32211408,Human Cardiac Progenitor Cells Enhance Exosome Release and Promote Angiogenesis Under Physoxia.,2,2_cells_cancer_cell_expression
11890,32211028,In silico Metabolic Pathway Analysis Identifying Target Against Leishmaniasis - A Kinetic Modeling Approach.,10,10_resistance_isolates_strains_study
11891,32210954,Engineered Tumor-Derived Extracellular Vesicles: Potentials in Cancer Immunotherapy.,2,2_cells_cancer_cell_expression
11892,32144329,"Cathepsin g Degrades Both Glycosylated and Unglycosylated Regions of Lubricin, a Synovial Mucin.",5,5_abstract_title_cells_cancer
11893,31419404,Metabolic and Functional Heterogeneity in Pancreatic β Cells.,1,1_abstract_title_cells_cell
11894,32154408,Circular RNAs are abundant and dynamically expressed during the embryonic lung development of C57BL/6 mice.,1,1_abstract_title_cells_cell
11895,32150922,"Systems Biology Analysis Reveals Eight SLC22 Transporter Subgroups, Including OATs, OCTs, and OCTNs.",6,6_proteins_cell_protein_abstract
11896,32139762,Exercise intensity and physical fitness modulate lipoproteins profile during acute aerobic exercise session.,4,4_abstract_title_cells_cell
11897,32134991,"Pathogen to commensal? Longitudinal within-host population dynamics, evolution, and adaptation during a chronic >16-year Burkholderia pseudomallei infection.",10,10_resistance_isolates_strains_study
11898,32134385,Cell type composition and circuit organization of clonally related excitatory neurons in the juvenile mouse neocortex.,3,3_abstract_title_cells_cell
11899,31866010,"High resolution structure of Vibrio cholerae acylphosphatase (VcAcP) cage: Identification of drugs, location of its binding site and engineering to facilitate cage formation.",0,0_cells_cell_abstract_title
11900,32132536,Inducible cell-to-cell signaling for tunable dynamics in microbial communities.,3,3_abstract_title_cells_cell
11901,32008322,"Mass Spectrometry Characterization of Higher Order Structural Changes Associated with the Fc-glycan Structure of the NISTmAb Reference Material, RM 8761.",0,0_cells_cell_abstract_title
11902,32166220,The Emerging Role of Ten-Eleven Translocation 1 in Epigenetic Responses to Environmental Exposures.,6,6_proteins_cell_protein_abstract
11903,32154414,"Single-nucleotide polymorphism characterization of gametocyte development 1 gene in Plasmodium falciparum isolates from Baringo, Uasin Gishu, and Nandi Counties, Kenya.",10,10_resistance_isolates_strains_study
11904,32079721,On the evolution of protein-adenine binding.,6,6_proteins_cell_protein_abstract
11905,32292881,"Coronavirus infections: Epidemiological, clinical and immunological features and hypotheses.",1,1_abstract_title_cells_cell
11906,32158530,The free-living flatworm Macrostomum lignano.,1,1_abstract_title_cells_cell
11907,32131403,Bovine Herpesvirus-4-Vectored Delivery of Nipah Virus Glycoproteins Enhances T Cell Immunogenicity in Pigs.,7,7_title_abstract_cell_cells
11908,32122910,Integration of luminal pressure and signalling in tissue self-organization.,6,6_proteins_cell_protein_abstract
11909,31689445,m-Trifluoromethyl-diphenyl diselenide (m-CF3-PhSe)2 modulates the hippocampal neurotoxic adaptations and abolishes a depressive-like phenotype in a short-term morphine withdrawal in mice.,2,2_cells_cancer_cell_expression
11910,34056567,Harnessing the anti-inflammatory properties of stem cells for transplant therapy in hemorrhagic stroke.,1,1_abstract_title_cells_cell
11911,32905440,Integration of the ImageJ Ecosystem in the KNIME Analytics Platform.,8,8_abstract_title_biology_molecular
11912,32864528,Engineered extracellular matrices: emerging strategies for decoupling structural and molecular signals that regulate epithelial branching morphogenesis.,7,7_title_abstract_cell_cells
11913,32363221,"An overview of coronaviruses including the SARS-2 coronavirus - Molecular biology, epidemiology and clinical implications.",9,9_sarscov2_virus_viral_covid19
11914,32355711,Mesenchymal stromal cell application as an emerging translational medicine for acute respiratory distress syndrome.,4,4_abstract_title_cells_cell
11915,32271461,COVID-19: emerging protective measures.,3,3_abstract_title_cells_cell
11916,32210357,The emerging role of RNA modifications in the regulation of mRNA stability.,5,5_abstract_title_cells_cancer
11917,32148858,Comparing serial X-ray crystallography and microcrystal electron diffraction (MicroED) as methods for routine structure determination from small macromolecular crystals.,3,3_abstract_title_cells_cell
11918,32148857,The structural study of mutation-induced inactivation of human muscarinic receptor M4.,5,5_abstract_title_cells_cancer
11919,32146545,Seq'ing identity and function in a repeat-derived noncoding RNA world.,6,6_proteins_cell_protein_abstract
11920,32125935,A review of clinical pharmacogenetics Studies in African populations.,7,7_title_abstract_cell_cells
11921,32118528,Using genomics to understand inter- and intra- outbreak diversity of Pasteurella multocida isolates associated with fowl cholera in meat chickens.,10,10_resistance_isolates_strains_study
11922,32113162,BAP18 is involved in upregulation of CCND1/2 transcription to promote cell growth in oral squamous cell carcinoma.,2,2_cells_cancer_cell_expression
11923,32105584,Uncovering cell biology in the third dimension.,7,7_title_abstract_cell_cells
